Country,Decade,Total affected per 100k,GDP_pc,VulnerabilityScore
Nepal,1990,397.42075945999994,2026.5868699999999,196.10349072280331
Nicaragua,2000,1016.964126,5244.5338600000005,193.90934507189928
Guinea-Bissau,2010,422.327418,2202.9402999999998,191.7107867153731
Burundi,2020,159.211849,832.2085125,191.31244947461408
Tonga,1990,964.5589,5181.10541,186.16855355583277
Cambodia,2020,1159.52556,6375.4106,181.87464819912933
Saint Kitts and Nevis,1990,2945.4414,16284.1198,180.878146081927
Central African Republic,2010,211.46787,1206.582422,175.26185210743938
Uruguay,2020,5120.918684200001,29803.07925,171.8251540803456
Uganda,1990,208.813464,1259.0410299999999,165.8511986698321
Dominican Republic,2010,2890.06188,17589.283499999998,164.3081072631526
Myanmar,1990,154.79711584400002,946.6697049999999,163.51755530615617
Central African Republic,1990,215.73158678,1321.64363,163.2297707817046
Jamaica,2000,1610.52248,10002.14315,161.01773948316267
Jamaica,2010,1583.8467,9849.8763,160.7986386590459
Senegal,1990,451.93799,2879.32291,156.9598145558464
Saint Vincent and the Grenadines,2020,2603.01139,16771.49625,155.20448212842072
Togo,2000,309.1241,2006.5426200000002,154.05807826798116
Dominican Republic,2020,3309.5185,21869.725749999998,151.32876094708232
Papua New Guinea,2000,462.308657,3201.86152,144.38746151644935
Dominican Republic,1990,1240.3974440000002,8674.84109,142.9879154132148
Angola,2010,1329.42415,9505.23235,139.86235170779386
Burundi,1990,167.422064,1218.35978,137.41594785737266
Lithuania,1990,2058.845,15110.540799999999,136.2522379079907
Angola,2020,1007.82067,7401.86845,136.15760355751797
Albania,2010,1818.47987,13429.9024,135.4052930421892
Indonesia,2020,1771.8513322,13092.449,135.33383496089996
Uganda,2020,367.9093723,2719.722775,135.27458595481295
Central African Republic,2000,169.87416539999998,1267.91849,133.97877445576174
Guinea,2000,328.5158563,2495.35944,131.65071573817036
Myanmar,2010,677.5899964,5152.38649,131.50993189565636
Burkina Faso,2000,209.22307,1621.39626,129.03882607944342
Benin,2000,321.5727309,2661.88229,120.80651804479304
Armenia,2000,937.34467,7989.08358,117.32818421709389
Brazil,2010,2147.7212497,18358.5712,116.9873856904507
Zambia,2010,404.190698,3522.36323,114.7498629776464
Antigua and Barbuda,2000,3098.4663,27794.325900000003,111.47837551980346
Nigeria,2010,620.69905766,5680.5527999999995,109.26736877791191
Colombia,2000,1296.6093065,12268.229000000001,105.68838472936883
Gambia,1990,260.4163,2545.06549,102.3220428013426
Uganda,2010,252.51205663100004,2484.69437,101.62700881034314
Peru,2010,1408.505411,14188.253399999998,99.27264274826106
Georgia,2020,1942.0508,19875.964,97.70850862881419
Lebanon,2010,1584.4432,16230.020550000001,97.62422635995983
Samoa,2010,641.1415,6594.351919999999,97.22585445515624
Maldives,1990,1027.2701,10658.1808,96.38324956919476
Solomon Islands,2000,213.696975,2252.8343800000002,94.85693972763323
Morocco,2010,757.73001,8030.458840000001,94.35700065178341
Paraguay,1990,956.40461467,10459.32915,91.44034009772032
Bosnia and Herzegovina,2020,1706.48929811,18805.81725,90.74262901868835
Gambia,2020,255.53783,2818.8940000000002,90.65180528249732
Bosnia and Herzegovina,2000,885.033876,9881.27775,89.56674413893487
Chile,2010,2415.9999129700004,27142.006400000002,89.01331306774728
Paraguay,2000,902.866166,10490.6633,86.06378263994041
Togo,2010,190.19011,2260.64583,84.13087422898084
Costa Rica,2020,2031.8137,24510.955,82.8941059212095
Mongolia,1990,461.939765,5635.76317,81.965787252909
Sri Lanka,2020,1107.370396,13620.4295,81.3021642232354
Kyrgyzstan,1990,322.589342,3989.3383799999997,80.86286779212747
Ghana,2000,300.4498,3718.38298,80.80119815952901
Dominica,2000,1109.230872,14185.511550000001,78.194633171336
Guinea,2020,287.77127,3777.787325,76.1745554323919
Ghana,2010,424.9756205825,5606.3450299999995,75.80261619797241
Dominica,1990,826.4933,11400.07955,72.4989063782454
Antigua and Barbuda,1990,1626.8823,22505.2973,72.28886063193666
Ecuador,2010,969.7100718,13426.5563,72.22329018201042
Belize,2010,837.636,11875.619999999999,70.53408579930985
Nepal,2020,325.64338562,4645.489875,70.09882582512355
India,2020,577.104098495,8288.57515,69.62645425191083
Gambia,2000,184.92673,2663.19668,69.43787944343636
Indonesia,2000,487.75839769,7104.98136,68.65020089088594
Seychelles,2000,1394.78807,20546.8869,67.88318234233333
Togo,2020,177.06079,2624.257725,67.47080834067089
Israel,2010,2693.59506,40927.7499,65.81341673024639
Costa Rica,2000,1060.04373,16123.44545,65.74548431892391
Mauritius,2020,1576.7037,24038.50875,65.59074509977663
Ecuador,2000,679.5896715,10367.603200000001,65.54935199487572
Colombia,2010,1060.3832927110002,16476.364,64.35784574260438
Botswana,1990,739.510447,11575.494999999999,63.88585948160316
Maldives,2000,951.419726,15367.1695,61.912489870044055
Indonesia,1990,355.9812132,5854.79749,60.80162700896424
Botswana,2000,854.9258747,14247.559,60.00507698897756
Fiji,2000,589.22159,9894.5991,59.54981945655585
Senegal,2020,248.700345,4184.169625,59.43839932158582
Kiribati,2010,147.646082,2528.12786,58.40135079243975
Uzbekistan,2000,239.3922736,4207.081810000001,56.9022149821232
Angola,2000,427.736551,7747.21968,55.21162025445496
Jordan,1990,412.673912,7690.05555,53.66332002634233
Puerto Rico,2010,2235.2514846000004,42102.4403,53.09078211791919
Morocco,2020,447.7200622,8553.154999999999,52.34560372166763
Thailand,2020,1063.848015,20521.494,51.84067081080939
Samoa,2000,289.04337,5598.9488,51.624578170816626
Benin,2020,175.58005,3522.9269999999997,49.839252984804965
Rwanda,2020,139.32281,2799.792275,49.76183813493807
El Salvador,2020,508.3377844,10743.85475,47.314283023046265
South Africa,2010,680.2384378794,14518.7738,46.85233389884481
Colombia,1990,507.153823366,10970.6221,46.228355944007944
Brazil,1990,600.4723100099999,13175.299900000002,45.5756084922211
Spain,1990,1529.2693345417,33823.2195,45.213594600055735
Ecuador,2020,596.78456,13675.062249999999,43.640354178278066
Cameroon,1990,163.99742369999998,3803.16542,43.12129649622234
Liberia,2010,71.31211,1658.5966799999999,42.99544962311151
United States,2010,2709.86253142,64049.0237,42.30919340961008
Trinidad and Tobago,2020,1306.2991,31255.9165,41.79365849022536
Papua New Guinea,2020,169.82824,4088.617375,41.53683859938104
North Macedonia,2010,757.80956007,19100.8191,39.67419177693798
Liberia,2000,58.825147,1533.60746,38.35736884065496
Cameroon,2010,162.7786957,4603.621499999999,35.35883558194348
Guinea,2010,104.108665,2998.41829,34.7211946202476
Tajikistan,2010,104.557361,3014.7023799999997,34.68248199014591
North Macedonia,2020,760.69885,22549.816749999998,33.73414775089026
Congo,1990,269.13538,8005.100840000001,33.6204859100813
Ecuador,1990,311.064431,9424.461350000001,33.00606999677493
Suriname,2020,620.7733,18833.972,32.96029642605394
Kazakhstan,1990,401.981229,12582.733,31.947052281885025
Suriname,2000,601.5308,18908.2528,31.813135056032255
New Zealand,2010,1418.4289172099998,44613.830700000006,31.793479621780147
Malaysia,2010,855.7471143697001,27242.195,31.41256107922655
Jordan,2000,297.13377814,9475.08964,31.359468820814236
Congo,2000,240.46922,7719.257390000001,31.15185928526215
Mexico,2000,637.2479452,20527.715799999998,31.043295387010378
Croatia,2020,1146.06555,37588.5885,30.489720304341837
Saint Lucia,2020,611.54596,20652.13175,29.61175957053441
Mexico,2010,631.12076,21429.5038,29.45102069978867
Antigua and Barbuda,2010,780.87604,26528.676199999998,29.4351679711783
Georgia,2010,429.639562,14719.831,29.187805349123913
Ukraine,1990,402.80870555,14075.178899999999,28.618371987442377
China,2020,580.6192399399999,20597.432999999997,28.18891266401983
Czechia,2010,1237.7201,44142.803,28.039001057544986
Lebanon,1990,277.87344,9977.86455,27.84898899033461
Marshall Islands,2000,111.455795,4027.14664,27.676120331193104
Seychelles,2010,762.61877,27690.5701,27.540739220822328
Trinidad and Tobago,2010,996.8718,36579.121100000004,27.25248092415211
Guyana,2020,869.965,32120.854,27.084118000100496
Dominican Republic,2000,324.4126948,12129.40005,26.745980300979518
Costa Rica,2010,558.1390133,21355.0203,26.13619680333434
Armenia,2010,338.43305999999995,12988.8444,26.055671280502825
Bahamas,2010,830.663275,32463.6687,25.587473882765444
El Salvador,1990,172.375077,6779.4589399999995,25.42608171619076
Peru,2020,371.857719,14934.37075,24.899456778250933
Sint Maarten (Dutch part),2010,1202.8352,50095.7258,24.010735063549074
Tunisia,1990,180.09404,7563.02764,23.812426527109718
Indonesia,2010,253.9008994,10746.3923,23.626617409081557
Chile,2000,480.2752738,20486.2271,23.443812833647634
Bhutan,2010,280.59628,12241.4573,22.921803599314924
Gabon,2010,444.279319,19538.8108,22.738298842629664
Brazil,2000,340.201968132,15282.989749999999,22.260171190129867
Uruguay,2000,423.0945017,19271.2399,21.954710952459266
Rwanda,2010,47.7280685,2182.90275,21.864496024845813
Nigeria,1990,73.94353,3394.1080199999997,21.785850528116075
Sierra Leone,2000,36.318058,2028.88364,17.900513013156342
Sierra Leone,2010,49.72934,2792.89201,17.805679497074433
Guatemala,1990,139.8400015,8105.10043,17.253333590093465
Panama,2000,293.5346471,17329.847700000002,16.938097332499922
Bahamas,2000,583.8382,34861.7429,16.74724644934491
Armenia,1990,67.693411,4045.6605900000004,16.73235050100928
Argentina,2020,434.8003176,26227.5775,16.577982377518474
Brazil,2020,296.39599,18243.8765,16.24632736359512
Morocco,2000,97.40406,6104.65737,15.955696461962123
Colombia,2020,277.920971,17832.894,15.58473745203667
Myanmar,2020,83.90469948,5454.974099999999,15.38131949700733
Tajikistan,2020,61.492389,4099.185475,15.001123851318292
Guinea-Bissau,1990,28.96311,1955.2946499999998,14.812657519417856
Panama,1990,191.569068,12980.503200000001,14.758215844821793
France,1990,604.4162406699999,41746.620299999995,14.478207728590665
Barbados,2020,247.40018,17281.7405,14.315698120799812
Serbia,2010,272.494731,19059.0514,14.297392104205144
Congo,2010,117.5519,8243.452959999999,14.260031636063346
Mexico,1990,251.07783579999997,18395.8111,13.648641771495468
Puerto Rico,1990,419.715538,30828.519500000002,13.614521384979254
Grenada,1990,120.59818,9279.8851,12.99565443973008
Morocco,1990,58.610555999999995,4691.329970000001,12.493377437699184
Botswana,2010,201.771343,16434.706299999998,12.27714930324006
Chile,1990,176.93899729999998,14448.9356,12.24581534573384
United States,2000,691.1267560242001,58122.320700000004,11.89090090864524
Saint Vincent and the Grenadines,2000,136.44633,11991.0375,11.379026210200742
Mauritius,2010,232.2265152,22129.4154,10.494019430807013
Sierra Leone,2020,30.209295513,2892.2304000000004,10.444982361363742
Kyrgyzstan,2010,56.15705812,5511.09009,10.189827638981676
Paraguay,2020,153.94873,15360.021875,10.022689502191872
Uruguay,2010,278.50824,28371.092099999998,9.816620347864578
Algeria,2000,126.386526573,13166.0958,9.599392902260366
Nigeria,2000,40.10715177,4220.94093,9.501945759283583
Ukraine,2000,137.993227,14806.30605,9.319895626498953
Seychelles,1990,161.58528,17658.2799,9.150680639058168
Mauritius,1990,96.26367,10670.1553,9.0217684085629
Mexico,2020,187.975057,21195.814,8.86849908194137
Armenia,2020,149.80748,17022.752249999998,8.800426499774735
Malaysia,2000,175.95991619999998,20444.757,8.60660345339394
Argentina,2000,191.11666081,23191.213200000002,8.240908276846852
Montenegro,2010,179.07205040000002,21879.2026,8.184578463567956
South Africa,1990,82.749876552,10479.833,7.896106412382716
Slovenia,2010,311.25122,39867.1294,7.807214230979971
Argentina,1990,161.8280575,20946.7236,7.725697850903995
Hungary,2010,230.7939573,31649.067900000002,7.292282920597481
Kyrgyzstan,2020,41.775875,5954.299075,7.016086104139806
Malaysia,2020,211.78282,30978.68875,6.836403622796977
Uzbekistan,1990,23.34614083,3419.4868199999996,6.827381434387281
Panama,2010,195.155524,29025.596700000002,6.723566306562787
Hungary,1990,130.68431,19573.6563,6.676540550065754
Argentina,2010,179.67147444,28253.9343,6.359166568883824
Japan,2010,272.1655717527,43218.047399999996,6.297498108456885
Belarus,1990,60.671837,10098.9024,6.007765457759052
Tunisia,2020,73.8856191,12362.415,5.976633133574629
Czechia,2000,213.414742894,36360.1011,5.869476058580046
Belarus,2010,147.944957,25703.4869,5.755832178551619
Barbados,2000,107.86599784,19482.3305,5.536606508138234
Slovakia,1990,88.97875,16250.637200000001,5.4754006815191225
Romania,1990,79.4115685,14663.950399999998,5.415428062277135
Greece,2020,181.34429632,34242.11825,5.295942704128709
Panama,2020,163.429548,31877.8675,5.1267403003039655
North Macedonia,1990,57.6383146,11356.596300000001,5.075315972973345
Azerbaijan,2010,99.499688,19980.678099999997,4.97979535539387
Greece,1990,139.0941924,28030.863900000004,4.9621800061609935
Cameroon,2000,20.254642,4126.76871,4.908111751191406
Egypt,1990,41.648197162,8508.87395,4.894677886490492
Romania,2000,100.90825132,20676.751200000002,4.880275936192529
Barbados,2010,91.00274,18761.7811,4.85043181747814
Algeria,2010,68.91403867,15040.9372,4.581764936163685
Uzbekistan,2020,41.8889,9397.57575,4.457415520167528
Azerbaijan,2000,46.7282585,10919.6212,4.279292994156245
Ghana,2020,27.408348,6636.484125,4.1299500584581
Poland,1990,58.782112,14474.820600000001,4.06099071100059
Portugal,2000,144.0342206,36169.3292,3.982219847195839
Guinea,1990,8.609016,2181.6112000000003,3.9461733603127813
Australia,2020,216.4438027,58021.93125,3.7303791521072474
Kazakhstan,2020,124.18276677,33291.723249999995,3.7301393453701746
Saint Kitts and Nevis,2010,104.578445,28130.8407,3.717572685269943
Chile,2020,103.93899784,28595.74175,3.6347718743823108
Kiribati,2000,8.17457,2268.31021,3.6038148415335125
Netherlands,1990,171.720396721,47710.2821,3.599232474900835
Czechia,1990,99.39341,27811.774800000003,3.5737888255876427
Uruguay,1990,59.08752,16904.498499999998,3.4953725483190174
France,2020,186.896213064,53764.81575,3.476180666796017
Saint Lucia,1990,62.44587,18058.857500000002,3.457908120710294
United States,1990,158.65010890000002,47533.8835,3.3376214442903662
Japan,2000,128.697759961,40491.6997,3.178373862162176
Tunisia,2000,32.637547,10470.1592,3.1171968235210787
Saint Vincent and the Grenadines,1990,26.433621,8497.54695,3.110735504674087
Iceland,2020,195.29897,63782.46075,3.06195414387489
Algeria,2020,44.8134177,14658.136,3.05723849881049
Lebanon,2000,38.893091373,13178.7318,2.9512013722746824
Belgium,2020,180.73734,62133.672999999995,2.908846866336069
Australia,2010,151.80047639999998,54573.76040000001,2.7815652666661386
Maldives,2020,50.626213,19235.097,2.631970766770763
Kazakhstan,2000,51.8008107415,19702.8339,2.6291045747231316
Bulgaria,2010,63.51436601299999,24265.054,2.6175241980916257
Greece,2010,82.85634197,32618.668799999996,2.5401509325236478
Bhutan,2000,17.20168013,6934.188039999999,2.480705748210428
Japan,1990,88.1978263,37412.086599999995,2.3574687838983035
Iraq,2000,24.793493,10791.934700000002,2.2974094719086833
Libya,2010,33.83287,15165.275899999999,2.230943256363704
Algeria,1990,23.72157,10995.2781,2.15743247094405
Tunisia,2010,26.8335575,12664.2341,2.1188456631577903
Serbia,2020,49.583836309999995,24082.16775,2.0589440628740743
Iraq,2010,26.9096494,13700.7406,1.9641018092116862
Bahamas,1990,60.287537,30921.511599999998,1.949695661062055
Maldives,2010,35.677616,18870.5972,1.89064583499244
Macao,1990,104.69609,57427.2029,1.8231096886663793
Eswatini,2020,17.60868,9837.912875,1.7898796445684115
Oman,2000,77.09994,43351.0896,1.7785006261987935
Ukraine,2020,28.2926296,16152.82375,1.7515593581586626
Hungary,2000,46.19951519,26668.7034,1.7323495071005215
New Zealand,2020,83.41559290000001,48196.061499999996,1.7307553834040987
Ukraine,2010,28.83365039,16949.88175,1.7011121856351592
France,2010,84.58102878,52253.1549,1.6186779332629349
Kazakhstan,2010,48.1208335,30317.112800000003,1.5872498749287234
